chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
mansfield_018	1	74	3	4	8	11	fanny took the work very quietly without attempting any defence but her kinder aunt bertram observed on her behalf one can not wonder sister that fanny  should  be delighted it is all new to her you know you and i used to be very fond of a play ourselves and so am i still and as soon as i am a little more at leisure  i  mean to look in at their rehearsals too
mansfield_018	2	6	1	17	1	17	what is the play about fanny
mansfield_018	3	31	1	3	2	6	i believe said fanny to her aunt bertram there will be three acts rehearsed to morrow evening and that will give you an opportunity of seeing all the actors at once
mansfield_018	4	20	0	0	0	0	the morrow came the plan for the evening continued and fanny s consideration of it did not become less agitated
mansfield_018	5	78	1	1	2	3	she worked very diligently under her aunt s directions but her diligence and her silence concealed a very absent anxious mind and about noon she made her escape with her work to the east room that she might have no concern in another and as she deemed it most unnecessary rehearsal of the first act which henry crawford was just proposing desirous at once of having her time to herself and of avoiding the sight of mr rushworth
mansfield_018	6	56	4	7	2	4	a glimpse as she passed through the hall of the two ladies walking up from the parsonage made no change in her wish of retreat and she worked and meditated in the east room undisturbed for a quarter of an hour when a gentle tap at the door was followed by the entrance of miss crawford
mansfield_018	7	41	2	5	4	10	she began and fanny joined in with all the modest feeling which the idea of representing edmund was so strongly calculated to inspire but with looks and voice so truly feminine as to be no very good picture of a man
mansfield_018	8	27	2	7	4	15	edmund proposed urged entreated it till the lady not very unwilling at first could refuse no longer and fanny was wanted only to prompt and observe them
mansfield_018	9	58	2	3	3	5	she was invested indeed with the office of judge and critic and earnestly desired to exercise it and tell them all their faults but from doing so every feeling within her shrank she could not would not dared not attempt it had she been otherwise qualified for criticism her conscience must have restrained her from venturing at disapprobation
mansfield_018	10	18	0	0	2	11	she believed herself to feel too much of it in the aggregate for honesty or safety in particulars
mansfield_018	11	25	0	0	3	12	to prompt them must be enough for her and it was sometimes  more  than enough for she could not always pay attention to the book
mansfield_018	12	29	3	10	1	3	in watching them she forgot herself and agitated by the increasing spirit of edmund s manner had once closed the page and turned away exactly as he wanted help
mansfield_018	13	26	1	4	3	12	it was imputed to very reasonable weariness and she was thanked and pitied but she deserved their pity more than she hoped they would ever surmise
mansfield_018	14	62	2	3	5	8	at last the scene was over and fanny forced herself to add her praise to the compliments each was giving the other and when again alone and able to recall the whole she was inclined to believe their performance would indeed have such nature and feeling in it as must ensure their credit and make it a very suffering exhibition to herself
mansfield_018	15	17	1	6	1	6	whatever might be its effect however she must stand the brunt of it again that very day
mansfield_018	16	22	0	0	2	9	she was immediately surrounded by supplications everybody asked it even edmund said do fanny if it is not  very  disagreeable to you
