chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
persuasion_012	1	23	1	4	1	4	12 anne and henrietta finding themselves the earliest of the party the next morning agreed to stroll down to the sea before breakfast
persuasion_012	2	4	0	0	0	0	do not you anne
persuasion_012	3	10	0	0	3	30	do not you think anne it is being over scrupulous
persuasion_012	4	51	3	6	2	4	anne smiled more than once to herself during this speech and entered into the subject as ready to do good by entering into the feelings of a young lady as of a young man though here it was good of a lower standard for what could be offered but general acquiescence
persuasion_012	5	74	3	4	6	8	anne was amused by henrietta s manner of being grateful and amused also that the course of events and the new interests of henrietta s views should have placed her friend at all in favour with any of the musgrove family she had only time however for a general answer and a wish that such another woman were at uppercross before all subjects suddenly ceased on seeing louisa and captain wentworth coming towards them
persuasion_012	6	33	3	9	1	3	they ascended and passed him and as they passed anne s face caught his eye and he looked at her with a degree of earnest admiration which she could not be insensible of
persuasion_012	7	41	1	2	2	5	she was looking remarkably well her very regular very pretty features having the bloom and freshness of youth restored by the fine wind which had been blowing on her complexion and by the animation of eye which it had also produced
persuasion_012	8	14	0	0	2	14	it was evident that the gentleman completely a gentleman in manner admired her exceedingly
persuasion_012	9	16	1	6	0	0	captain wentworth looked round at her instantly in a way which shewed his noticing of it
persuasion_012	10	32	3	9	3	9	he gave her a momentary glance a glance of brightness which seemed to say that man is struck with you and even i at this moment see something like anne elliot again
persuasion_012	11	47	4	9	1	2	after attending louisa through her business and loitering about a little longer they returned to the inn and anne in passing afterwards quickly from her own chamber to their dining room had nearly run against the very same gentleman as he came out of an adjoining apartment
persuasion_012	12	34	1	3	5	15	she had before conjectured him to be a stranger like themselves and determined that a well looking groom who was strolling about near the two inns as they came back should be his servant
persuasion_012	13	11	0	0	3	27	anne felt that she should like to know who he was
persuasion_012	14	63	4	6	3	5	the word curricle made charles musgrove jump up that he might compare it with his own the servant in mourning roused anne s curiosity and the whole six were collected to look by the time the owner of the curricle was to be seen issuing from the door amidst the bows and civilities of the household and taking his seat to drive off
persuasion_012	15	18	2	11	1	6	cried captain wentworth instantly and with half a glance at anne it is the very man we passed
persuasion_012	16	5	0	0	0	0	charles anne must not it
persuasion_012	17	8	0	0	1	12	anne must not it be our mr elliot
persuasion_012	18	6	0	0	0	0	but anne only conceive how extraordinary
persuasion_012	19	40	3	8	3	8	when she could command mary s attention anne quietly tried to convince her that their father and mr elliot had not for many years been on such terms as to make the power of attempting an introduction at all desirable
persuasion_012	20	37	1	3	2	5	at the same time however it was a secret gratification to herself to have seen her cousin and to know that the future owner of kellynch was undoubtedly a gentleman and had an air of good sense
persuasion_012	21	76	7	9	2	3	she would not upon any account mention her having met with him the second time luckily mary did not much attend to their having passed close by him in their earlier walk but she would have felt quite ill used by anne s having actually run against him in the passage and received his very polite excuses while she had never been near him at all no that cousinly little interview must remain a perfect secret
persuasion_012	22	28	1	4	3	11	anne avoided a direct reply but it was just the circumstance which she considered as not merely unnecessary to be communicated but as what ought to be suppressed
persuasion_012	23	36	0	0	5	14	the offence which had been given her father many years back she knew elizabeth s particular share in it she suspected and that mr elliot s idea always produced irritation in both was beyond a doubt
persuasion_012	24	22	1	5	0	0	mary never wrote to bath herself all the toil of keeping up a slow and unsatisfactory correspondence with elizabeth fell on anne
persuasion_012	25	17	0	0	2	12	anne found captain benwick getting near her as soon as they were all fairly in the street
persuasion_012	26	73	1	1	1	1	their conversation the preceding evening did not disincline him to seek her again and they walked together some time talking as before of mr scott and lord byron and still as unable as before and as unable as any other two readers to think exactly alike of the merits of either till something occasioned an almost general change amongst their party and instead of captain benwick she had captain harville by her side
persuasion_012	27	46	0	0	4	9	no said anne that i can easily believe to be impossible but in time perhaps we know what time does in every case of affliction and you must remember captain harville that your friend may yet be called a young mourner only last summer i understand
persuasion_012	28	49	2	4	4	8	anne did think on the question with perfect decision and said as much in reply as her own feeling could accomplish or as his seemed able to bear for he was too much affected to renew the subject and when he spoke again it was of something totally different
persuasion_012	29	8	0	0	1	12	anne found captain benwick again drawing near her
persuasion_012	30	31	0	0	5	16	lord byron s dark blue seas could not fail of being brought forward by their present view and she gladly gave him all her attention as long as attention was possible
persuasion_012	31	50	2	4	0	0	screamed mary catching hold of her husband and contributing with his own horror to make him immoveable and in another moment henrietta sinking under the conviction lost her senses too and would have fallen on the steps but for captain benwick and anne who caught and supported her between them
persuasion_012	32	15	3	20	0	0	go to him go to him cried anne for heaven s sake go to him
persuasion_012	33	5	0	0	1	20	i can support her myself
persuasion_012	34	13	0	0	1	8	rub her hands rub her temples here are salts take them take them
persuasion_012	35	58	1	2	3	5	captain benwick obeyed and charles at the same moment disengaging himself from his wife they were both with him and louisa was raised up and supported more firmly between them and everything was done that anne had prompted but in vain while captain wentworth staggering against the wall for his support exclaimed in the bitterest agony oh god
persuasion_012	36	4	0	0	0	0	her father and mother
persuasion_012	37	2	0	0	0	0	said anne
persuasion_012	38	37	1	3	3	8	he caught the word it seemed to rouse him at once and saying only true true a surgeon this instant was darting away when anne eagerly suggested captain benwick would not it be better for captain benwick
persuasion_012	39	78	3	4	3	4	as to the wretched party left behind it could scarcely be said which of the three who were completely rational was suffering most captain wentworth anne or charles who really a very affectionate brother hung over louisa with sobs of grief and could only turn his eyes from one sister to see the other in a state as insensible or to witness the hysterical agitations of his wife calling on him for help which he could not give
persuasion_012	40	39	4	10	2	5	anne attending with all the strength and zeal and thought which instinct supplied to henrietta still tried at intervals to suggest comfort to the others tried to quiet mary to animate charles to assuage the feelings of captain wentworth
