chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
sense_023	1	44	0	0	4	9	however small elinor s general dependence on lucy s veracity might be it was impossible for her on serious reflection to suspect it in the present case where no temptation could be answerable to the folly of inventing a falsehood of such a description
sense_023	2	36	0	0	5	14	what lucy had asserted to be true therefore elinor could not dared not longer doubt supported as it was too on every side by such probabilities and proofs and contradicted by nothing but her own wishes
sense_023	3	98	3	3	8	8	and so well was she able to answer her own expectations that when she joined them at dinner only two hours after she had first suffered the extinction of all her dearest hopes no one would have supposed from the appearance of the sisters that elinor was mourning in secret over obstacles which must divide her for ever from the object of her love and that marianne was internally dwelling on the perfections of a man of whose whole heart she felt thoroughly possessed and whom she expected to see in every carriage which drove near their house
sense_023	4	31	0	0	2	6	the necessity of concealing from her mother and marianne what had been entrusted in confidence to herself though it obliged her to unceasing exertion was no aggravation of elinor s distress
sense_023	5	56	0	0	5	9	on the contrary it was a relief to her to be spared the communication of what would give such affliction to them and to be saved likewise from hearing that condemnation of edward which would probably flow from the excess of their partial affection for herself and which was more than she felt equal to support
sense_023	6	37	1	3	0	0	from their counsel or their conversation she knew she could receive no assistance their tenderness and sorrow must add to her distress while her self command would neither receive encouragement from their example nor from their praise
sense_023	7	40	0	0	4	10	she was stronger alone and her own good sense so well supported her that her firmness was as unshaken her appearance of cheerfulness as invariable as with regrets so poignant and so fresh it was possible for them to be
sense_023	8	30	0	0	2	7	much as she had suffered from her first conversation with lucy on the subject she soon felt an earnest wish of renewing it and this for more reasons than one
sense_023	9	89	2	2	9	10	she wanted to hear many particulars of their engagement repeated again she wanted more clearly to understand what lucy really felt for edward whether there were any sincerity in her declaration of tender regard for him and she particularly wanted to convince lucy by her readiness to enter on the matter again and her calmness in conversing on it that she was no otherwise interested in it than as a friend which she very much feared her involuntary agitation in their morning discourse must have left at least doubtful
sense_023	10	43	3	7	4	9	but indeed while elinor remained so well assured within herself of being really beloved by edward it required no other consideration of probabilities to make it natural that lucy should be jealous and that she was so her very confidence was a proof
sense_023	11	35	1	3	3	9	what other reason for the disclosure of the affair could there be but that elinor might be informed by it of lucy s superior claims on edward and be taught to avoid him in future
sense_023	12	71	2	3	2	3	one or two meetings of this kind had taken place without affording elinor any chance of engaging lucy in private when sir john called at the cottage one morning to beg in the name of charity that they would all dine with lady middleton that day as he was obliged to attend the club at exeter and she would otherwise be quite alone except her mother and the two miss steeles
sense_023	13	95	3	3	5	5	elinor who foresaw a fairer opening for the point she had in view in such a party as this was likely to be more at liberty among themselves under the tranquil and well bred direction of lady middleton than when her husband united them together in one noisy purpose immediately accepted the invitation margaret with her mother s permission was equally compliant and marianne though always unwilling to join any of their parties was persuaded by her mother who could not bear to have her seclude herself from any chance of amusement to go likewise
sense_023	14	69	2	3	5	7	the insipidity of the meeting was exactly such as elinor had expected it produced not one novelty of thought or expression and nothing could be less interesting than the whole of their discourse both in the dining parlour and drawing room to the latter the children accompanied them and while they remained there she was too well convinced of the impossibility of engaging lucy s attention to attempt it
sense_023	15	27	1	4	4	15	the card table was then placed and elinor began to wonder at herself for having ever entertained a hope of finding time for conversation at the park
sense_023	16	40	0	0	4	10	marianne can never keep long from that instrument you know ma am said elinor endeavouring to smooth away the offence and i do not much wonder at it for it is the very best toned piano forte i ever heard
sense_023	17	54	0	0	5	9	perhaps continued elinor if i should happen to cut out i may be of some use to miss lucy steele in rolling her papers for her and there is so much still to be done to the basket that it must be impossible i think for her labour singly to finish it this evening
sense_023	18	37	0	0	3	8	you are very kind said lady middleton to elinor and as you really like the work perhaps you will be as well pleased not to cut in till another rubber or will you take your chance now
sense_023	19	36	1	3	1	3	elinor joyfully profited by the first of these proposals and thus by a little of that address which marianne could never condescend to practise gained her own end and pleased lady middleton at the same time
