chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
pride_016	1	34	2	6	3	9	the gentlemen did approach and when mr wickham walked into the room elizabeth felt that she had neither been seeing him before nor thinking of him since with the smallest degree of unreasonable admiration
pride_016	2	67	2	3	8	12	mr wickham was the happy man towards whom almost every female eye was turned and elizabeth was the happy woman by whom he finally seated himself and the agreeable manner in which he immediately fell into conversation though it was only on its being a wet night made her feel that the commonest dullest most threadbare topic might be rendered interesting by the skill of the speaker
pride_016	3	22	1	5	2	9	mr wickham did not play at whist and with ready delight was he received at the other table between elizabeth and lydia
pride_016	4	48	1	2	7	15	allowing for the common demands of the game mr wickham was therefore at leisure to talk to elizabeth and she was very willing to hear him though what she chiefly wished to hear she could not hope to be told the history of his acquaintance with mr darcy
pride_016	5	7	1	14	0	0	she dared not even mention that gentleman
pride_016	6	6	0	0	1	17	her curiosity however was unexpectedly relieved
pride_016	7	26	1	4	3	12	he enquired how far netherfield was from meryton and after receiving her answer asked in a hesitating manner how long mr darcy had been staying there
pride_016	8	26	1	4	1	4	about a month said elizabeth and then unwilling to let the subject drop added he is a man of very large property in derbyshire i understand
pride_016	9	6	1	17	0	0	elizabeth could not but look surprised
pride_016	10	12	0	0	2	17	as much as i ever wish to be cried elizabeth very warmly
pride_016	11	22	0	0	3	14	elizabeth found the interest of the subject increase and listened with all her heart but the delicacy of it prevented further enquiry
pride_016	12	7	0	0	1	14	cried elizabeth but how could  that  be
pride_016	13	16	0	0	1	6	elizabeth honoured him for such feelings and thought him handsomer than ever as he expressed them
pride_016	14	12	0	0	2	17	but what said she after a pause can have been his motive
pride_016	15	26	0	0	1	4	elizabeth was again deep in thought and after a time exclaimed to treat in such a manner the godson the friend the favourite of his father
pride_016	16	46	3	7	4	9	she could have added a young man too like  you  whose very countenance may vouch for your being amiable but she contented herself with and one too who had probably been his companion from childhood connected together as i think you said in the closest manner
pride_016	17	2	0	0	0	0	cried elizabeth
pride_016	18	30	0	0	2	7	after many pauses and many trials of other subjects elizabeth could not help reverting once more to the first and saying i am astonished at his intimacy with mr bingley
pride_016	19	27	0	0	0	0	the whist party soon afterwards breaking up the players gathered round the other table and mr collins took his station between his cousin elizabeth and mrs phillips
pride_016	20	35	0	0	4	11	mr wickham s attention was caught and after observing mr collins for a few moments he asked elizabeth in a low voice whether her relation was very intimately acquainted with the family of de bourgh
pride_016	21	12	2	17	1	8	this information made elizabeth smile as she thought of poor miss bingley
pride_016	22	41	1	2	1	2	elizabeth allowed that he had given a very rational account of it and they continued talking together with mutual satisfaction till supper put an end to cards and gave the rest of the ladies their share of mr wickham s attentions
pride_016	23	9	1	11	0	0	elizabeth went away with her head full of him
pride_016	24	44	4	9	3	7	she could think of nothing but of mr wickham and of what he had told her all the way home but there was not time for her even to mention his name as they went for neither lydia nor mr collins were once silent
