chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
persuasion_021	1	45	1	2	3	7	21 anne recollected with pleasure the next morning her promise of going to mrs smith meaning that it should engage her from home at the time when mr elliot would be most likely to call for to avoid mr elliot was almost a first object
persuasion_021	2	10	0	0	1	10	she felt a great deal of good will towards him
persuasion_021	3	16	0	0	2	12	in spite of the mischief of his attentions she owed him gratitude and regard perhaps compassion
persuasion_021	4	36	1	3	2	6	she could not help thinking much of the extraordinary circumstances attending their acquaintance of the right which he seemed to have to interest her by everything in situation by his own sentiments by his early prepossession
persuasion_021	5	42	0	0	6	14	how she might have felt had there been no captain wentworth in the case was not worth enquiry for there was a captain wentworth and be the conclusion of the present suspense good or bad her affection would be his for ever
persuasion_021	6	16	0	0	1	6	their union she believed could not divide her more from other men than their final separation
persuasion_021	7	29	2	7	1	3	prettier musings of high wrought love and eternal constancy could never have passed along the streets of bath than anne was sporting with from camden place to westgate buildings
persuasion_021	8	31	0	0	5	16	she was sure of a pleasant reception and her friend seemed this morning particularly obliged to her for coming seemed hardly to have expected her though it had been an appointment
persuasion_021	9	31	1	3	2	6	an account of the concert was immediately claimed and anne s recollections of the concert were quite happy enough to animate her features and make her rejoice to talk of it
persuasion_021	10	70	3	4	2	3	all that she could tell she told most gladly but the all was little for one who had been there and unsatisfactory for such an enquirer as mrs smith who had already heard through the short cut of a laundress and a waiter rather more of the general success and produce of the evening than anne could relate and who now asked in vain for several particulars of the company
persuasion_021	11	33	3	9	3	9	but i ought to have looked about me more said anne conscious while she spoke that there had in fact been no want of looking about that the object only had been deficient
persuasion_021	12	12	2	17	0	0	anne half smiled and said do you see that in my eye
persuasion_021	13	6	0	0	0	0	a blush overspread anne s cheeks
persuasion_021	14	4	0	0	0	0	she could say nothing
persuasion_021	15	5	0	0	0	0	anne heard nothing of this
persuasion_021	16	27	0	0	2	7	she was still in the astonishment and confusion excited by her friend s penetration unable to imagine how any report of captain wentworth could have reached her
persuasion_021	17	5	1	20	0	0	repeated anne looking up surprised
persuasion_021	18	12	0	0	1	8	a moment s reflection shewed her the mistake she had been under
persuasion_021	19	23	1	4	1	4	she caught it instantaneously and recovering her courage with the feeling of safety soon added more composedly are you acquainted with mr elliot
persuasion_021	20	51	1	2	8	16	i should be extremely happy i hope you can not doubt my willingness to be of even the slightest use to you replied anne but i suspect that you are considering me as having a higher claim on mr elliot a greater right to influence him than is really the case
persuasion_021	21	10	1	10	0	0	no replied anne nor next week nor next nor next
persuasion_021	22	12	0	0	2	17	no said anne i can readily believe all that of my cousin
persuasion_021	23	53	1	2	6	11	as it was she instantly submitted and with all the semblance of seeing nothing beyond and anne eager to escape farther notice was impatient to know why mrs smith should have fancied she was to marry mr elliot where she could have received the idea or from whom she could have heard it
persuasion_021	24	6	1	17	0	0	the whole history repeated anne laughing
persuasion_021	25	18	1	6	2	11	she could not make a very long history i think of one such little article of unfounded news
persuasion_021	26	34	0	0	3	9	but continued anne presently though there is no truth in my having this claim on mr elliot i should be extremely happy to be of use to you in any way that i could
persuasion_021	27	39	2	5	3	8	i have not seen mr elliot these three years was mrs smith s answer given so gravely that it was impossible to pursue the subject farther and anne felt that she had gained nothing but an increase of curiosity
persuasion_021	28	22	2	9	1	5	anne s astonished air and exclamation of wonder made her pause and in a calmer manner she added my expressions startle you
persuasion_021	29	22	0	0	1	5	this must have been about that very period of mr elliot s life said anne which has always excited my particular curiosity
persuasion_021	30	12	1	8	0	0	nay said anne i have no particular enquiry to make about her
persuasion_021	31	16	1	6	1	6	perhaps cried anne struck by a sudden idea you sometimes spoke of me to mr elliot
persuasion_021	32	12	0	0	0	0	this accounts for something which mr elliot said last night cried anne
persuasion_021	33	10	0	0	1	10	indeed my dear mrs smith i want none cried anne
persuasion_021	34	15	1	7	3	20	anne seeing her friend to be earnestly bent on it did as she was desired
persuasion_021	35	45	2	4	2	4	the box was brought and placed before her and mrs smith sighing over it as she unlocked it said this is full of papers belonging to him to my husband a small portion only of what i had to look over when i lost him
persuasion_021	36	31	1	3	3	10	such a letter could not be read without putting anne in a glow and mrs smith observing the high colour in her face said the language i know is highly disrespectful
persuasion_021	37	18	1	6	1	6	anne could not immediately get over the shock and mortification of finding such words applied to her father
persuasion_021	38	62	3	5	5	8	she was obliged to recollect that her seeing the letter was a violation of the laws of honour that no one ought to be judged or to be known by such testimonies that no private correspondence could bear the eye of others before she could recover calmness enough to return the letter which she had been meditating over and say thank you
