chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
mansfield_046	1	69	1	1	3	4	lady bertram could think nothing less and fanny shared her aunt s security till she received a few lines from edmund written purposely to give her a clearer idea of his brother s situation and acquaint her with the apprehensions which he and his father had imbibed from the physician with respect to some strong hectic symptoms which seemed to seize the frame on the departure of the fever
mansfield_046	2	26	1	4	0	0	easter came particularly late this year as fanny had most sorrowfully considered on first learning that she had no chance of leaving portsmouth till after it
mansfield_046	3	24	3	12	1	4	it came and she had yet heard nothing of her return nothing even of the going to london which was to precede her return
mansfield_046	4	22	0	0	2	9	her aunt often expressed a wish for her but there was no notice no message from the uncle on whom all depended
mansfield_046	5	19	1	5	2	11	she supposed he could not yet leave his son but it was a cruel a terrible delay to her
mansfield_046	6	65	1	2	7	11	the end of april was coming on it would soon be almost three months instead of two that she had been absent from them all and that her days had been passing in a state of penance which she loved them too well to hope they would thoroughly understand and who could yet say when there might be leisure to think of or fetch her
mansfield_046	7	27	0	0	2	7	her eagerness her impatience her longings to be with them were such as to bring a line or two of cowper s tirocinium for ever before her
mansfield_046	8	33	0	0	5	15	with what intense desire she wants her home was continually on her tongue as the truest description of a yearning which she could not suppose any schoolboy s bosom to feel more keenly
mansfield_046	9	45	2	4	6	13	when she had been coming to portsmouth she had loved to call it her home had been fond of saying that she was going home the word had been very dear to her and so it still was but it must be applied to mansfield
mansfield_046	10	51	1	2	6	12	they had been long so arranged in the indulgence of her secret meditations and nothing was more consolatory to her than to find her aunt using the same language i can not but say i much regret your being from home at this distressing time so very trying to my spirits
mansfield_046	11	23	0	0	6	26	i trust and hope and sincerely wish you may never be absent from home so long again were most delightful sentences to her
mansfield_046	12	7	0	0	1	14	still however it was her private regale
mansfield_046	13	18	1	6	0	0	delicacy to her parents made her careful not to betray such a preference of her uncle s house
mansfield_046	14	35	1	3	4	11	for a great while it was so but at last the longing grew stronger it overthrew caution and she found herself talking of what she should do when she went home before she was aware
mansfield_046	15	12	1	8	0	0	she reproached herself coloured and looked fearfully towards her father and mother
mansfield_046	16	6	0	0	1	17	she need not have been uneasy
mansfield_046	17	11	0	0	1	9	there was no sign of displeasure or even of hearing her
mansfield_046	18	12	0	0	3	25	she was as welcome to wish herself there as to be there
mansfield_046	19	29	0	0	4	14	it was so long since fanny had had any letter from her that she had some reason to think lightly of the friendship which had been so dwelt on
mansfield_046	20	93	1	1	7	8	it was weeks since she had heard anything of miss crawford or of her other connexions in town except through mansfield and she was beginning to suppose that she might never know whether mr crawford had gone into norfolk again or not till they met and might never hear from his sister any more this spring when the following letter was received to revive old and create some new sensations forgive me my dear fanny as soon as you can for my long silence and behave as if you could forgive me directly
