chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
persuasion_016	1	59	1	2	7	12	16 there was one point which anne on returning to her family would have been more thankful to ascertain even than mr elliot s being in love with elizabeth which was her father s not being in love with mrs clay and she was very far from easy about it when she had been at home a few hours
persuasion_016	2	24	4	17	1	4	he spoke and looked so much in earnest that anne was not surprised to see mrs clay stealing a glance at elizabeth and herself
persuasion_016	3	44	1	2	2	5	in the course of the same morning anne and her father chancing to be alone together he began to compliment her on her improved looks he thought her less thin in her person in her cheeks her skin her complexion greatly improved clearer fresher
persuasion_016	4	8	0	0	1	12	had she been using any thing in particular
persuasion_016	5	22	0	0	1	5	such personal praise might have struck her especially as it did not appear to anne that the freckles were at all lessened
persuasion_016	6	54	0	0	5	9	the sight of mrs clay in such favour and of anne so overlooked was a perpetual provocation to her there and vexed her as much when she was away as a person in bath who drinks the water gets all the new publications and has a very large acquaintance has time to be vexed
persuasion_016	7	17	0	0	1	6	as mr elliot became known to her she grew more charitable or more indifferent towards the others
persuasion_016	8	38	1	3	5	13	his manners were an immediate recommendation and on conversing with him she found the solid so fully supporting the superficial that she was at first as she told anne almost ready to exclaim can this be mr elliot
persuasion_016	9	53	2	4	3	6	it was now some years since anne had begun to learn that she and her excellent friend could sometimes think differently and it did not surprise her therefore that lady russell should see nothing suspicious or inconsistent nothing to require more motives than appeared in mr elliot s great desire of a reconciliation
persuasion_016	10	14	2	14	0	0	anne presumed however still to smile about it and at last to mention elizabeth
persuasion_016	11	18	0	0	2	11	it was a reference to the future which anne after a little observation felt she must submit to
persuasion_016	12	6	0	0	1	17	she could determine nothing at present
persuasion_016	13	58	1	2	4	7	in fact anne could never see the crape round his hat without fearing that she was the inexcusable one in attributing to him such imaginations for though his marriage had not been very happy still it had existed so many years that she could not comprehend a very rapid recovery from the awful impression of its being dissolved
persuasion_016	14	54	3	6	4	7	however it might end he was without any question their pleasantest acquaintance in bath she saw nobody equal to him and it was a great indulgence now and then to talk to him about lyme which he seemed to have as lively a wish to see again and to see more of as herself
persuasion_016	15	14	1	7	0	0	he gave her to understand that he had looked at her with some earnestness
persuasion_016	16	12	1	8	0	0	she knew it well and she remembered another person s look also
persuasion_016	17	12	0	0	1	8	his value for rank and connexion she perceived was greater than hers
persuasion_016	18	35	2	6	3	9	it was not merely complaisance it must be a liking to the cause which made him enter warmly into her father and sister s solicitudes on a subject which she thought unworthy to excite them
persuasion_016	19	26	1	4	1	4	the bath paper one morning announced the arrival of the dowager viscountess dalrymple and her daughter the honourable miss carteret and all the comfort of no
persuasion_016	20	31	1	3	3	10	camden place was swept away for many days for the dalrymples in anne s opinion most unfortunately were cousins of the elliots and the agony was how to introduce themselves properly
persuasion_016	21	19	1	5	0	0	anne had never seen her father and sister before in contact with nobility and she must acknowledge herself disappointed
persuasion_016	22	53	0	0	6	11	she had hoped better things from their high ideas of their own situation in life and was reduced to form a wish which she had never foreseen a wish that they had more pride for our cousins lady dalrymple and miss carteret our cousins the dalrymples sounded in her ears all day long
persuasion_016	23	3	0	0	1	33	anne was ashamed
persuasion_016	24	61	2	3	3	5	lady russell confessed she had expected something better but yet it was an acquaintance worth having and when anne ventured to speak her opinion of them to mr elliot he agreed to their being nothing in themselves but still maintained that as a family connexion as good company as those who would collect good company around them they had their value
persuasion_016	25	33	2	6	3	9	anne smiled and said my idea of good company mr elliot is the company of clever well informed people who have a great deal of conversation that is what i call good company
persuasion_016	26	6	1	17	0	0	my cousin anne shakes her head
persuasion_016	27	4	0	0	1	25	she is not satisfied
persuasion_016	28	3	0	0	1	33	she is fastidious
persuasion_016	29	26	2	8	1	4	my dear cousin sitting down by her you have a better right to be fastidious than almost any other woman i know but will it answer
persuasion_016	30	13	1	8	2	15	yes sighed anne we shall indeed be known to be related to them
persuasion_016	31	28	2	7	4	14	then recollecting herself and not wishing to be answered she added i certainly do think there has been by far too much trouble taken to procure the acquaintance
persuasion_016	32	19	1	5	2	11	well said anne i certainly am proud too proud to enjoy a welcome which depends so entirely upon place
persuasion_016	33	72	3	4	6	8	he looked as he spoke to the seat which mrs clay had been lately occupying a sufficient explanation of what he particularly meant and though anne could not believe in their having the same sort of pride she was pleased with him for not liking mrs clay and her conscience admitted that his wishing to promote her father s getting great acquaintance was more than excusable in the view of defeating her
