chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
persuasion_008	1	84	2	2	6	7	his profession qualified him his disposition lead him to talk and that was in the year six that happened before i went to sea in the year six occurred in the course of the first evening they spent together and though his voice did not falter and though she had no reason to suppose his eye wandering towards her while he spoke anne felt the utter impossibility from her knowledge of his mind that he could be unvisited by remembrance any more than herself
persuasion_008	2	22	0	0	3	14	there must be the same immediate association of thought though she was very far from conceiving it to be of equal pain
persuasion_008	3	48	0	0	3	6	with the exception perhaps of admiral and mrs croft who seemed particularly attached and happy anne could allow no other exceptions even among the married couples there could have been no two hearts so open no tastes so similar no feelings so in unison no countenances so beloved
persuasion_008	4	13	0	0	0	0	when he talked she heard the same voice and discerned the same mind
persuasion_008	5	124	1	1	9	7	there was a very general ignorance of all naval matters throughout the party and he was very much questioned and especially by the two miss musgroves who seemed hardly to have any eyes but for him as to the manner of living on board daily regulations food hours c and their surprise at his accounts at learning the degree of accommodation and arrangement which was practicable drew from him some pleasant ridicule which reminded anne of the early days when she too had been ignorant and she too had been accused of supposing sailors to be living on board without anything to eat or any cook to dress it if there were or any servant to wait or any knife and fork to use
persuasion_008	6	25	0	0	3	12	from thus listening and thinking she was roused by a whisper of mrs musgrove s who overcome by fond regrets could not help saying ah
persuasion_008	7	32	1	3	2	6	anne suppressed a smile and listened kindly while mrs musgrove relieved her heart a little more and for a few minutes therefore could not keep pace with the conversation of the others
persuasion_008	8	26	0	0	3	12	anne s shudderings were to herself alone but the miss musgroves could be as open as they were sincere in their exclamations of pity and horror
persuasion_008	9	147	4	3	9	6	there was a momentary expression in captain wentworth s face at this speech a certain glance of his bright eye and curl of his handsome mouth which convinced anne that instead of sharing in mrs musgrove s kind wishes as to her son he had probably been at some pains to get rid of him but it was too transient an indulgence of self amusement to be detected by any who understood him less than herself in another moment he was perfectly collected and serious and almost instantly afterwards coming up to the sofa on which she and mrs musgrove were sitting took a place by the latter and entered into conversation with her in a low voice about her son doing it with so much sympathy and natural grace as shewed the kindest consideration for all that was real and unabsurd in the parent s feelings
persuasion_008	10	75	1	1	3	4	mrs musgrove was of a comfortable substantial size infinitely more fitted by nature to express good cheer and good humour than tenderness and sentiment and while the agitations of anne s slender form and pensive face may be considered as very completely screened captain wentworth should be allowed some credit for the self command with which he attended to her large fat sighings over the destiny of a son whom alive nobody had cared for
persuasion_008	11	42	1	2	2	5	i declare i have not a comfort or an indulgence about me even at kellynch hall with a kind bow to anne beyond what i always had in most of the ships i have lived in and they have been five altogether
persuasion_008	12	7	1	14	1	14	nothing to the purpose replied her brother
persuasion_008	13	41	2	5	6	15	on its being proposed anne offered her services as usual and though her eyes would sometimes fill with tears as she sat at the instrument she was extremely glad to be employed and desired nothing in return but to be unobserved
persuasion_008	14	26	0	0	3	12	she felt that he had every thing to elevate him which general attention and deference and especially the attention of all the young women could do
persuasion_008	15	28	0	0	2	7	these were some of the thoughts which occupied anne while her fingers were mechanically at work proceeding for half an hour together equally without error and without consciousness
persuasion_008	16	67	6	9	6	9	once she felt that he was looking at herself observing her altered features perhaps trying to trace in them the ruins of the face which had once charmed him and once she knew that he must have spoken of her she was hardly aware of it till she heard the answer but then she was sure of his having asked his partner whether miss elliot never danced
persuasion_008	17	11	1	9	1	9	anne did not wish for more of such looks and speeches
