chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
emma_043	1	17	1	6	0	0	emma and harriet went together miss bates and her niece with the eltons the gentlemen on horseback
emma_043	2	21	1	5	0	0	the eltons walked together mr knightley took charge of miss bates and jane and emma and harriet belonged to frank churchill
emma_043	3	8	0	0	1	12	at first it was downright dulness to emma
emma_043	4	10	2	20	0	0	she had never seen frank churchill so silent and stupid
emma_043	5	17	1	6	2	12	he said nothing worth hearing looked without seeing admired without intelligence listened without knowing what she said
emma_043	6	93	2	2	11	12	to amuse her and be agreeable in her eyes seemed all that he cared for and emma glad to be enlivened not sorry to be flattered was gay and easy too and gave him all the friendly encouragement the admission to be gallant which she had ever given in the first and most animating period of their acquaintance but which now in her own estimation meant nothing though in the judgment of most people looking on it must have had such an appearance as no english word but flirtation could very well describe
emma_043	7	23	0	0	4	17	not that emma was gay and thoughtless from any real felicity it was rather because she felt less happy than she had expected
emma_043	8	33	1	3	6	18	she laughed because she was disappointed and though she liked him for his attentions and thought them all whether in friendship admiration or playfulness extremely judicious they were not winning back her heart
emma_043	9	7	0	0	0	0	she still intended him for her friend
emma_043	10	16	1	6	0	0	no no cried emma laughing as carelessly as she could upon no account in the world
emma_043	11	14	0	0	1	7	it will not do whispered frank to emma they are most of them affronted
emma_043	12	4	0	0	0	0	emma could not resist
emma_043	13	9	0	0	0	0	no no said emma it will not reckon low
emma_043	14	9	0	0	1	11	you to emma i am certain will never guess
emma_043	15	28	1	4	4	14	it might be a very indifferent piece of wit but emma found a great deal to laugh at and enjoy in it and so did frank and harriet
emma_043	16	3	1	33	0	0	turning to emma
emma_043	17	7	0	0	1	14	emma was in no danger of forgetting
emma_043	18	22	0	0	0	0	mr weston his son emma and harriet only remained and the young man s spirits now rose to a pitch almost unpleasant
emma_043	19	39	2	5	1	3	even emma grew tired at last of flattery and merriment and wished herself rather walking quietly about with any of the others or sitting almost alone and quite unattended to in tranquil observation of the beautiful views beneath her
emma_043	20	43	3	7	2	5	he looked around as if to see that no one were near and then said emma i must once more speak to you as i have been used to do a privilege rather endured than allowed perhaps but i must still use it
emma_043	21	7	0	0	1	14	emma i had not thought it possible
emma_043	22	11	2	18	2	18	emma recollected blushed was sorry but tried to laugh it off
emma_043	23	8	0	0	0	0	i dare say she did not understand me
emma_043	24	5	1	20	0	0	i assure you she did
emma_043	25	5	0	0	1	20	she felt your full meaning
emma_043	26	6	0	0	0	0	she has talked of it since
emma_043	27	16	0	0	1	6	i wish you could have heard how she talked of it with what candour and generosity
emma_043	28	36	0	0	5	14	i wish you could have heard her honouring your forbearance in being able to pay her such attentions as she was for ever receiving from yourself and your father when her society must be so irksome
emma_043	29	31	0	0	4	13	cried emma i know there is not a better creature in the world but you must allow that what is good and what is ridiculous are most unfortunately blended in her
emma_043	30	25	0	0	2	8	they are blended said he i acknowledge and were she prosperous i could allow much for the occasional prevalence of the ridiculous over the good
emma_043	31	27	1	4	1	4	were she a woman of fortune i would leave every harmless absurdity to take its chance i would not quarrel with you for any liberties of manner
emma_043	32	17	0	0	3	18	were she your equal in situation but emma consider how far this is from being the case
emma_043	33	24	0	0	3	12	she is poor she has sunk from the comforts she was born to and if she live to old age must probably sink more
emma_043	34	6	0	0	0	0	her situation should secure your compassion
emma_043	35	63	1	2	2	3	you whom she had known from an infant whom she had seen grow up from a period when her notice was an honour to have you now in thoughtless spirits and the pride of the moment laugh at her humble her and before her niece too and before others many of whom certainly some would be entirely guided by your treatment of her
emma_043	36	57	1	2	5	9	this is not pleasant to you emma and it is very far from pleasant to me but i must i will i will tell you truths while i can satisfied with proving myself your friend by very faithful counsel and trusting that you will some time or other do me greater justice than you can do now
emma_043	37	23	1	4	2	9	while they talked they were advancing towards the carriage it was ready and before she could speak again he had handed her in
emma_043	38	15	0	0	0	0	he had misinterpreted the feelings which had kept her face averted and her tongue motionless
emma_043	39	51	5	10	2	4	she had not been able to speak and on entering the carriage sunk back for a moment overcome then reproaching herself for having taken no leave making no acknowledgment parting in apparent sullenness she looked out with voice and hand eager to shew a difference but it was just too late
emma_043	40	28	2	7	1	4	she continued to look back but in vain and soon with what appeared unusual speed they were half way down the hill and every thing left far behind
emma_043	41	15	0	0	3	20	she was vexed beyond what could have been expressed almost beyond what she could conceal
emma_043	42	14	0	0	1	7	never had she felt so agitated mortified grieved at any circumstance in her life
emma_043	43	5	0	0	1	20	she was most forcibly struck
emma_043	44	6	0	0	2	33	she felt it at her heart
emma_043	45	12	0	0	1	8	how could she have been so brutal so cruel to miss bates
emma_043	46	43	2	5	8	19	there was only harriet who seemed not in spirits herself fagged and very willing to be silent and emma felt the tears running down her cheeks almost all the way home without being at any trouble to check them extraordinary as they were
