chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
northanger_016	1	45	2	4	0	0	15 early the next day a note from isabella speaking peace and tenderness in every line and entreating the immediate presence of her friend on a matter of the utmost importance hastened catherine in the happiest state of confidence and curiosity to edgar s buildings
northanger_016	2	37	1	3	1	3	the two youngest miss thorpes were by themselves in the parlour and on anne s quitting it to call her sister catherine took the opportunity of asking the other for some particulars of their yesterday s party
northanger_016	3	46	1	2	6	13	maria desired no greater pleasure than to speak of it and catherine immediately learnt that it had been altogether the most delightful scheme in the world that nobody could imagine how charming it had been and that it had been more delightful than anybody could conceive
northanger_016	4	5	0	0	1	20	catherine listened with heartfelt satisfaction
northanger_016	5	26	0	0	2	8	maria was without ceremony sent away and isabella embracing catherine thus began yes my dear catherine it is so indeed your penetration has not deceived you
northanger_016	6	9	2	22	1	11	catherine replied only by a look of wondering ignorance
northanger_016	7	15	0	0	2	13	my dear catherine you alone who know my heart can judge of my present happiness
northanger_016	8	31	0	0	1	3	catherine s understanding began to awake an idea of the truth suddenly darted into her mind and with the natural blush of so new an emotion she cried out good heaven
northanger_016	9	13	0	0	2	15	never had catherine listened to anything so full of interest wonder and joy
northanger_016	10	6	0	0	0	0	her brother and her friend engaged
northanger_016	11	33	1	3	1	3	new to such circumstances the importance of it appeared unspeakably great and she contemplated it as one of those grand events of which the ordinary course of life can hardly afford a return
northanger_016	12	17	0	0	0	0	the strength of her feelings she could not express the nature of them however contented her friend
northanger_016	13	24	0	0	2	8	delighting however as catherine sincerely did in the prospect of the connection it must be acknowledged that isabella far surpassed her in tender anticipations
northanger_016	14	35	0	0	3	9	you will be so infinitely dearer to me my catherine than either anne or maria i feel that i shall be so much more attached to my dear morland s family than to my own
northanger_016	15	8	0	0	1	12	this was a pitch of friendship beyond catherine
northanger_016	16	30	0	0	1	3	here catherine secretly acknowledged the power of love for though exceedingly fond of her brother and partial to all his endowments she had never in her life thought him handsome
northanger_016	17	13	0	0	0	0	catherine the many sleepless nights i have had on your brother s account
northanger_016	18	41	1	2	5	12	catherine felt that nothing could have been safer but ashamed of an ignorance little expected she dared no longer contest the point nor refuse to have been as full of arch penetration and affectionate sympathy as isabella chose to consider her
northanger_016	19	22	2	9	2	9	catherine endeavoured to persuade her as she was herself persuaded that her father and mother would never oppose their son s wishes
northanger_016	20	27	0	0	3	11	it is impossible said she for parents to be more kind or more desirous of their children s happiness i have no doubt of their consenting immediately
northanger_016	21	8	0	0	0	0	here catherine again discerned the force of love
northanger_016	22	22	0	0	2	9	my sweet catherine in  your  generous heart i know it would signify nothing but we must not expect such disinterestedness in many
northanger_016	23	38	1	3	2	5	this charming sentiment recommended as much by sense as novelty gave catherine a most pleasing remembrance of all the heroines of her acquaintance and she thought her friend never looked more lovely than in uttering the grand idea
northanger_016	24	19	1	5	4	21	i am sure they will consent was her frequent declaration i am sure they will be delighted with you
northanger_016	25	2	0	0	0	0	cried catherine
northanger_016	26	19	0	0	2	11	catherine wished to congratulate him but knew not what to say and her eloquence was only in her eyes
northanger_016	27	15	1	7	1	7	twice was he called almost from the door by her eagerness to have him gone
northanger_016	28	88	0	0	4	5	to catherine s simple feelings this odd sort of reserve seemed neither kindly meant nor consistently supported and its unkindness she would hardly have forborne pointing out had its inconsistency been less their friend but anne and maria soon set her heart at ease by the sagacity of their i know what and the evening was spent in a sort of war of wit a display of family ingenuity on one side in the mystery of an affected secret on the other of undefined discovery all equally acute
northanger_016	29	59	1	2	1	2	catherine was with her friend again the next day endeavouring to support her spirits and while away the many tedious hours before the delivery of the letters a needful exertion for as the time of reasonable expectation drew near isabella became more and more desponding and before the letter arrived had worked herself into a state of real distress
northanger_016	30	44	2	5	3	7	it was dear john and dear catherine at every word dear anne and dear maria must immediately be made sharers in their felicity and two dears at once before the name of isabella were not more than that beloved child had now well earned
northanger_016	31	6	0	0	1	17	catherine wished him a good journey
northanger_016	32	20	1	5	1	5	without appearing to hear her he walked to the window fidgeted about hummed a tune and seemed wholly self occupied
northanger_016	33	2	0	0	0	0	said catherine
northanger_016	34	9	2	22	1	11	replied catherine finding that he waited for an answer
northanger_016	35	8	0	0	1	12	it was to catherine the most surprising insensibility
