chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
pride_022	1	7	1	14	0	0	elizabeth took an opportunity of thanking her
pride_022	2	19	0	0	2	11	it keeps him in good humour said she and i am more obliged to you than i can express
pride_022	3	38	2	5	2	5	this was very amiable but charlotte s kindness extended farther than elizabeth had any conception of its object was nothing else than to secure her from any return of mr collins s addresses by engaging them towards herself
pride_022	4	26	1	4	4	15	elizabeth would wonder and probably would blame her and though her resolution was not to be shaken her feelings must be hurt by such a disapprobation
pride_022	5	33	2	6	1	3	she resolved to give her the information herself and therefore charged mr collins when he returned to longbourn to dinner to drop no hint of what had passed before any of the family
pride_022	6	34	0	0	4	12	as for my fair cousins though my absence may not be long enough to render it necessary i shall now take the liberty of wishing them health and happiness not excepting my cousin elizabeth
pride_022	7	20	1	5	0	0	miss lucas called soon after breakfast and in a private conference with elizabeth related the event of the day before
pride_022	8	69	0	0	4	6	the possibility of mr collins s fancying himself in love with her friend had once occurred to elizabeth within the last day or two but that charlotte could encourage him seemed almost as far from possibility as she could encourage him herself and her astonishment was consequently so great as to overcome at first the bounds of decorum and she could not help crying out engaged to mr collins
pride_022	9	39	2	5	3	8	but elizabeth had now recollected herself and making a strong effort for it was able to assure with tolerable firmness that the prospect of their relationship was highly grateful to her and that she wished her all imaginable happiness
pride_022	10	17	2	12	0	0	elizabeth quietly answered undoubtedly and after an awkward pause they returned to the rest of the family
pride_022	11	18	1	6	3	17	charlotte did not stay much longer and elizabeth was then left to reflect on what she had heard
pride_022	12	19	0	0	3	16	it was a long time before she became at all reconciled to the idea of so unsuitable a match
pride_022	13	40	0	0	5	12	she had always felt that charlotte s opinion of matrimony was not exactly like her own but she had not supposed it to be possible that when called into action she would have sacrificed every better feeling to worldly advantage
