chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
persuasion_015	1	19	1	5	1	5	anne entered it with a sinking heart anticipating an imprisonment of many months and anxiously saying to herself oh
persuasion_015	2	14	0	0	0	0	a degree of unexpected cordiality however in the welcome she received did her good
persuasion_015	3	24	1	4	2	8	her father and sister were glad to see her for the sake of shewing her the house and furniture and met her with kindness
persuasion_015	4	15	2	13	1	7	her making a fourth when they sat down to dinner was noticed as an advantage
persuasion_015	5	23	0	0	3	13	anne had always felt that she would pretend what was proper on her arrival but the complaisance of the others was unlooked for
persuasion_015	6	15	0	0	3	20	they were evidently in excellent spirits and she was soon to listen to the causes
persuasion_015	7	8	0	0	1	12	they had no inclination to listen to her
persuasion_015	8	36	1	3	2	6	after laying out for some compliments of being deeply regretted in their old neighbourhood which anne could not pay they had only a few faint enquiries to make before the talk must be all their own
persuasion_015	9	17	2	12	1	6	they had the pleasure of assuring her that bath more than answered their expectations in every respect
persuasion_015	10	10	0	0	2	20	could anne wonder that her father and sister were happy
persuasion_015	11	103	3	3	8	8	she might not wonder but she must sigh that her father should feel no degradation in his change should see nothing to regret in the duties and dignity of the resident landholder should find so much to be vain of in the littlenesses of a town and she must sigh and smile and wonder too as elizabeth threw open the folding doors and walked with exultation from one drawing room to the other boasting of their space at the possibility of that woman who had been mistress of kellynch hall finding extent to be proud of between two walls perhaps thirty feet asunder
persuasion_015	12	10	0	0	0	0	anne had a great deal to hear of mr elliot
persuasion_015	13	7	0	0	1	14	anne listened but without quite understanding it
persuasion_015	14	15	2	13	2	13	allowances large allowances she knew must be made for the ideas of those who spoke
persuasion_015	15	6	0	0	0	0	she heard it all under embellishment
persuasion_015	16	32	0	0	4	12	still however she had the sensation of there being something more than immediately appeared in mr elliot s wishing after an interval of so many years to be well received by them
persuasion_015	17	17	2	12	1	6	anne mentioned the glimpses she had had of him at lyme but without being much attended to
persuasion_015	18	9	0	0	1	11	they could not listen to her description of him
persuasion_015	19	31	0	0	2	6	anne was considering whether she should venture to suggest that a gown or a cap would not be liable to any such misuse when a knock at the door suspended everything
persuasion_015	20	66	0	0	3	5	anne drew a little back while the others received his compliments and her sister his apologies for calling at so unusual an hour but he could not be so near without wishing to know that neither she nor her friend had taken cold the day before c c which was all as politely done and as politely taken as possible but her part must follow then
persuasion_015	21	71	3	4	4	6	sir walter talked of his youngest daughter mr elliot must give him leave to present him to his youngest daughter there was no occasion for remembering mary and anne smiling and blushing very becomingly shewed to mr elliot the pretty features which he had by no means forgotten and instantly saw with amusement at his little start of surprise that he had not been at all aware of who she was
persuasion_015	22	48	2	4	4	8	he was quite as good looking as he had appeared at lyme his countenance improved by speaking and his manners were so exactly what they ought to be so polished so easy so particularly agreeable that she could compare them in excellence to only one person s manners
persuasion_015	23	67	2	3	3	4	as soon as he could he began to talk to her of lyme wanting to compare opinions respecting the place but especially wanting to speak of the circumstance of their happening to be guests in the same inn at the same time to give his own route understand something of hers and regret that he should have lost such an opportunity of paying his respects to her
persuasion_015	24	13	0	0	0	0	she gave him a short account of her party and business at lyme
persuasion_015	25	34	2	6	3	9	but he must not be addressing his reflections to anne alone he knew it he was soon diffused again among the others and it was only at intervals that he could return to lyme
persuasion_015	26	23	2	9	1	4	his enquiries however produced at length an account of the scene she had been engaged in there soon after his leaving the place
persuasion_015	27	19	2	11	1	5	anne could not have supposed it possible that her first evening in camden place could have passed so well
