chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
persuasion_010	1	73	0	0	4	5	anne had soon been in company with all the four together often enough to have an opinion though too wise to acknowledge as much at home where she knew it would have satisfied neither husband nor wife for while she considered louisa to be rather the favourite she could not but think as far as she might dare to judge from memory and experience that captain wentworth was not in love with either
persuasion_010	2	27	0	0	3	11	anne longed for the power of representing to them all what they were about and of pointing out some of the evils they were exposing themselves to
persuasion_010	3	7	0	0	0	0	she did not attribute guile to any
persuasion_010	4	22	0	0	4	18	it was the highest satisfaction to her to believe captain wentworth not in the least aware of the pain he was occasioning
persuasion_010	5	9	0	0	2	22	anne could only feel that charles hayter was wise
persuasion_010	6	128	8	6	18	14	it was a very fine november day and the miss musgroves came through the little grounds and stopped for no other purpose than to say that they were going to take a long walk and therefore concluded mary could not like to go with them and when mary immediately replied with some jealousy at not being supposed a good walker oh yes i should like to join you very much i am very fond of a long walk anne felt persuaded by the looks of the two girls that it was precisely what they did not wish and admired again the sort of necessity which the family habits seemed to produce of everything being to be communicated and everything being to be done together however undesired and inconvenient
persuasion_010	7	53	5	9	3	6	she tried to dissuade mary from going but in vain and that being the case thought it best to accept the miss musgroves much more cordial invitation to herself to go likewise as she might be useful in turning back with her sister and lessening the interference in any plan of their own
persuasion_010	8	55	1	2	2	4	could anne have foreseen such a junction she would have staid at home but from some feelings of interest and curiosity she fancied now that it was too late to retract and the whole six set forward together in the direction chosen by the miss musgroves who evidently considered the walk as under their guidance
persuasion_010	9	31	1	3	3	10	anne s object was not to be in the way of anybody and where the narrow paths across the fields made many separations necessary to keep with her brother and sister
persuasion_010	10	80	4	5	3	4	her pleasure in the walk must arise from the exercise and the day from the view of the last smiles of the year upon the tawny leaves and withered hedges and from repeating to herself some few of the thousand poetical descriptions extant of autumn that season of peculiar and inexhaustible influence on the mind of taste and tenderness that season which had drawn from every poet worthy of being read some attempt at description or some lines of feeling
persuasion_010	11	47	1	2	2	4	she occupied her mind as much as possible in such like musings and quotations but it was not possible that when within reach of captain wentworth s conversation with either of the miss musgroves she should not try to hear it yet she caught little very remarkable
persuasion_010	12	9	0	0	0	0	anne could not immediately fall into a quotation again
persuasion_010	13	42	2	5	2	5	the sweet scenes of autumn were for a while put by unless some tender sonnet fraught with the apt analogy of the declining year with declining happiness and the images of youth and hope and spring all gone together blessed her memory
persuasion_010	14	22	0	0	1	5	she roused herself to say as they struck by order into another path is not this one of the ways to winthrop
persuasion_010	15	9	1	11	0	0	but nobody heard or at least nobody answered her
persuasion_010	16	26	4	15	0	0	she received no other answer than an artificial assenting smile followed by a contemptuous glance as he turned away which anne perfectly knew the meaning of
persuasion_010	17	31	0	0	3	10	anne found a nice seat for her on a dry sunny bank under the hedge row in which she had no doubt of their still being in some spot or other
persuasion_010	18	40	2	5	2	5	anne really tired herself was glad to sit down and she very soon heard captain wentworth and louisa in the hedge row behind her as if making their way back along the rough wild sort of channel down the centre
persuasion_010	19	11	2	18	1	9	what anne first heard was and so i made her go
persuasion_010	20	15	0	0	1	7	i could not bear that she should be frightened from the visit by such nonsense
persuasion_010	21	23	3	13	0	0	it would have surprised anne if louisa could have readily answered such a speech words of such interest spoken with such serious warmth
persuasion_010	22	10	0	0	1	10	we do so wish that charles had married anne instead
persuasion_010	23	9	0	0	2	22	i suppose you know he wanted to marry anne
persuasion_010	24	15	1	7	0	0	after a moment s pause captain wentworth said do you mean that she refused him
persuasion_010	25	23	2	9	3	13	they think charles might not be learned and bookish enough to please lady russell and that therefore she persuaded anne to refuse him
persuasion_010	26	9	0	0	1	11	the sounds were retreating and anne distinguished no more
persuasion_010	27	7	0	0	0	0	her own emotions still kept her fixed
persuasion_010	28	10	0	0	0	0	she had much to recover from before she could move
persuasion_010	29	27	0	0	1	4	the listener s proverbial fate was not absolutely hers she had heard no evil of herself but she had heard a great deal of very painful import
persuasion_010	30	33	1	3	2	6	she saw how her own character was considered by captain wentworth and there had been just that degree of feeling and curiosity about her in his manner which must give her extreme agitation
persuasion_010	31	41	2	5	4	10	as soon as she could she went after mary and having found and walked back with her to their former station by the stile felt some comfort in their whole party being immediately afterwards collected and once more in motion together
persuasion_010	32	57	1	2	6	11	the minutiae of the business anne could not attempt to understand even captain wentworth did not seem admitted to perfect confidence here but that there had been a withdrawing on the gentleman s side and a relenting on the lady s and that they were now very glad to be together again did not admit a doubt
persuasion_010	33	39	0	0	3	8	in a long strip of meadow land where there was ample space for all they were thus divided forming three distinct parties and to that party of the three which boasted least animation and least complaisance anne necessarily belonged
persuasion_010	34	34	1	3	5	15	she joined charles and mary and was tired enough to be very glad of charles s other arm but charles though in very good humour with her was out of temper with his wife
persuasion_010	35	96	1	1	5	5	mary had shewn herself disobliging to him and was now to reap the consequence which consequence was his dropping her arm almost every moment to cut off the heads of some nettles in the hedge with his switch and when mary began to complain of it and lament her being ill used according to custom in being on the hedge side while anne was never incommoded on the other he dropped the arms of both to hunt after a weasel which he had a momentary glance of and they could hardly get him along at all
persuasion_010	36	18	0	0	2	11	anne was still in the lane and though instinctively beginning to decline she was not allowed to proceed
persuasion_010	37	41	1	2	1	2	very good humoured unaffected girls indeed said mrs croft in a tone of calmer praise such as made anne suspect that her keener powers might not consider either of them as quite worthy of her brother and a very respectable family
persuasion_010	38	69	3	4	2	3	but by coolly giving the reins a better direction herself they happily passed the danger and by once afterwards judiciously putting out her hand they neither fell into a rut nor ran foul of a dung cart and anne with some amusement at their style of driving which she imagined no bad representation of the general guidance of their affairs found herself safely deposited by them at the cottage
