chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
northanger_014	1	17	0	0	2	12	the affair thus determined and thorpe s approbation secured catherine only remained to be apprised of it
northanger_014	2	13	2	15	0	0	she had left them for a few minutes to speak to miss tilney
northanger_014	3	37	2	5	5	14	in that interval the plan was completed and as soon as she came again her agreement was demanded but instead of the gay acquiescence expected by isabella catherine looked grave was very sorry but could not go
northanger_014	4	24	4	17	0	0	the engagement which ought to have kept her from joining in the former attempt would make it impossible for her to accompany them now
northanger_014	5	26	1	4	1	4	she had that moment settled with miss tilney to take their proposed walk tomorrow it was quite determined and she would not upon any account retract
northanger_014	6	6	0	0	1	17	catherine was distressed but not subdued
northanger_014	7	23	1	4	1	4	she was sure her dearest sweetest catherine would not seriously refuse such a trifling request to a friend who loved her so dearly
northanger_014	8	24	1	4	4	17	she knew her beloved catherine to have so feeling a heart so sweet a temper to be so easily persuaded by those she loved
northanger_014	9	28	0	0	2	7	but all in vain catherine felt herself to be in the right and though pained by such tender such flattering supplication could not allow it to influence her
northanger_014	10	20	1	5	2	10	i can not help being jealous catherine when i see myself slighted for strangers i who love you so excessively
northanger_014	11	8	0	0	1	12	catherine thought this reproach equally strange and unkind
northanger_014	12	17	0	0	1	6	was it the part of a friend thus to expose her feelings to the notice of others
northanger_014	13	24	0	0	0	0	isabella in the meanwhile had applied her handkerchief to her eyes and morland miserable at such a sight could not help saying nay catherine
northanger_014	14	23	0	0	2	9	this was the first time of her brother s openly siding against her and anxious to avoid his displeasure she proposed a compromise
northanger_014	15	32	2	6	1	3	if they would only put off their scheme till tuesday which they might easily do as it depended only on themselves she could go with them and everybody might then be satisfied
northanger_014	16	36	0	0	4	11	catherine was sorry but could do no more and a short silence ensued which was broken by isabella who in a voice of cold resentment said very well then there is an end of the party
northanger_014	17	8	1	12	1	12	if catherine does not go i can not
northanger_014	18	6	1	17	0	0	catherine you must go said james
northanger_014	19	45	2	4	5	11	the three others still continued together walking in a most uncomfortable manner to poor catherine sometimes not a word was said sometimes she was again attacked with supplications or reproaches and her arm was still linked within isabella s though their hearts were at war
northanger_014	20	32	1	3	6	19	i did not think you had been so obstinate catherine said james you were not used to be so hard to persuade you once were the kindest best tempered of my sisters
northanger_014	21	18	2	11	3	17	i hope i am not less so now she replied very feelingly but indeed i can not go
northanger_014	22	14	1	7	1	7	catherine s heart swelled she drew away her arm and isabella made no opposition
northanger_014	23	2	0	0	0	0	cried catherine
northanger_014	24	4	1	25	0	0	left her this moment
northanger_014	25	34	3	9	1	3	told her you had sent me to say that having just recollected a prior engagement of going to clifton with us tomorrow you could not have the pleasure of walking with her till tuesday
northanger_014	26	20	0	0	2	10	she said very well tuesday was just as convenient to her so there is an end of all our difficulties
northanger_014	27	21	0	0	2	10	now my sweet catherine all our distresses are over you are honourably acquitted and we shall have a most delightful party
northanger_014	28	12	0	0	1	8	this will not do said catherine i can not submit to this
northanger_014	29	16	2	12	1	6	then i will go after them said catherine wherever they are i will go after them
northanger_014	30	10	1	10	0	0	and with these words she broke away and hurried off
northanger_014	31	22	1	5	1	5	away walked catherine in great agitation as fast as the crowd would permit her fearful of being pursued yet determined to persevere
northanger_014	32	9	2	22	1	11	as she walked she reflected on what had passed
northanger_014	33	22	0	0	1	5	it was painful to her to disappoint and displease them particularly to displease her brother but she could not repent her resistance
northanger_014	34	38	1	3	1	3	setting her own inclination apart to have failed a second time in her engagement to miss tilney to have retracted a promise voluntarily made only five minutes before and on a false pretence too must have been wrong
northanger_014	35	22	0	0	1	5	catherine found that john thorpe  had  given the message and miss tilney had no scruple in owning herself greatly surprised by it
northanger_014	36	32	1	3	0	0	but whether her brother had still exceeded her in resentment catherine though she instinctively addressed herself as much to one as to the other in her vindication had no means of knowing
northanger_014	37	23	2	9	3	13	whatever might have been felt before her arrival her eager declarations immediately made every look and sentence as friendly as she could desire
northanger_014	38	45	1	2	4	9	the affair thus happily settled she was introduced by miss tilney to her father and received by him with such ready such solicitous politeness as recalled thorpe s information to her mind and made her think with pleasure that he might be sometimes depended on
northanger_014	39	30	1	3	1	3	and if catherine had not most warmly asserted his innocence it seemed likely that william would lose the favour of his master forever if not his place by her rapidity
northanger_014	40	45	2	4	1	2	after sitting with them a quarter of an hour she rose to take leave and was then most agreeably surprised by general tilney s asking her if she would do his daughter the honour of dining and spending the rest of the day with her
northanger_014	41	12	0	0	2	17	catherine was greatly obliged but it was quite out of her power
northanger_014	42	20	0	0	2	10	oh no catherine was sure they would not have the least objection and she should have great pleasure in coming
northanger_014	43	47	4	9	1	2	the general attended her himself to the street door saying everything gallant as they went downstairs admiring the elasticity of her walk which corresponded exactly with the spirit of her dancing and making her one of the most graceful bows she had ever beheld when they parted
northanger_014	44	27	2	7	2	7	catherine delighted by all that had passed proceeded gaily to pulteney street walking as she concluded with great elasticity though she had never thought of it before
northanger_014	45	46	3	7	4	9	she reached home without seeing anything more of the offended party and now that she had been triumphant throughout had carried her point and was secure of her walk she began as the flutter of her spirits subsided to doubt whether she had been perfectly right
northanger_014	46	42	0	0	3	7	a sacrifice was always noble and if she had given way to their entreaties she should have been spared the distressing idea of a friend displeased a brother angry and a scheme of great happiness to both destroyed perhaps through her means
northanger_014	47	42	1	2	1	2	to ease her mind and ascertain by the opinion of an unprejudiced person what her own conduct had really been she took occasion to mention before mr allen the half settled scheme of her brother and the thorpes for the following day
northanger_014	48	13	1	8	0	0	dear madam cried catherine then why did not you tell me so before
northanger_014	49	67	4	6	4	6	catherine relieved for herself felt uneasy for isabella and after a moment s thought asked mr allen whether it would not be both proper and kind in her to write to miss thorpe and explain the indecorum of which she must be as insensible as herself for she considered that isabella might otherwise perhaps be going to clifton the next day in spite of what had passed
northanger_014	50	44	0	0	5	11	catherine submitted and though sorry to think that isabella should be doing wrong felt greatly relieved by mr allen s approbation of her own conduct and truly rejoiced to be preserved by his advice from the danger of falling into such an error herself
