chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
emma_053	1	38	1	3	4	11	xvii mrs weston s friends were all made happy by her safety and if the satisfaction of her well doing could be increased to emma it was by knowing her to be the mother of a little girl
emma_053	2	10	0	0	0	0	cried emma at that rate what will become of her
emma_053	3	13	0	0	1	8	she will be disagreeable in infancy and correct herself as she grows older
emma_053	4	12	0	0	1	8	i am losing all my bitterness against spoilt children my dearest emma
emma_053	5	20	2	10	0	0	emma laughed and replied but i had the assistance of all your endeavours to counteract the indulgence of other people
emma_053	6	11	0	0	2	18	i am sure you were of use to me cried emma
emma_053	7	51	0	0	2	4	emma grieved that she could not be more openly just to one important service which his better sense would have rendered her to the advice which would have saved her from the worst of all her womanly follies her wilful intimacy with harriet smith but it was too tender a subject
emma_053	8	6	1	17	0	0	she could not enter on it
emma_053	9	34	0	0	5	15	this on his side might merely proceed from her not being thought of but emma was rather inclined to attribute it to delicacy and a suspicion from some appearances that their friendship were declining
emma_053	10	34	0	0	2	6	she was aware herself that parting under any other circumstances they certainly should have corresponded more and that her intelligence would not have rested as it now almost wholly did on isabella s letters
emma_053	11	27	1	4	7	26	emma s comforts and hopes were most agreeably carried on by harriet s being to stay longer her fortnight was likely to be a month at least
emma_053	12	33	0	0	1	3	emma accepted it with a very eager hand with an impatience all alive to know what he would say about it and not at all checked by hearing that her friend was unmentioned
emma_053	13	14	2	14	1	7	he writes like a sensible man replied emma when she had read the letter
emma_053	14	7	0	0	0	0	my emma he means no such thing
emma_053	15	43	2	5	2	5	he only means he and i should differ very little in our estimation of the two interrupted she with a sort of serious smile much less perhaps than he is aware of if we could enter without ceremony or reserve on the subject
emma_053	16	5	0	0	0	0	emma my dear emma oh
emma_053	17	30	0	0	2	7	she cried with more thorough gaiety if you fancy your brother does not do me justice only wait till my dear father is in the secret and hear his opinion
emma_053	18	13	0	0	1	8	i wish i may not sink into poor emma with him at once
emma_053	19	40	1	2	3	8	as soon as mrs weston was sufficiently recovered to admit mr woodhouse s visits emma having it in view that her gentle reasonings should be employed in the cause resolved first to announce it at home and then at randalls
emma_053	20	10	0	0	0	0	but how to break it to her father at last
emma_053	21	55	2	4	3	5	she had bound herself to do it in such an hour of mr knightley s absence or when it came to the point her heart would have failed her and she must have put it off but mr knightley was to come at such a time and follow up the beginning she was to make
emma_053	22	10	2	20	1	10	she was forced to speak and to speak cheerfully too
emma_053	23	18	1	6	0	0	she must not make it a more decided subject of misery to him by a melancholy tone herself
emma_053	24	9	0	0	1	11	she must not appear to think it a misfortune
emma_053	25	87	4	5	4	5	with all the spirits she could command she prepared him first for something strange and then in a few words said that if his consent and approbation could be obtained which she trusted would be attended with no difficulty since it was a plan to promote the happiness of all she and mr knightley meant to marry by which means hartfield would receive the constant addition of that person s company whom she knew he loved next to his daughters and mrs weston best in the world
emma_053	26	94	3	3	9	10	emma hung about him affectionately and smiled and said it must be so and that he must not class her with isabella and mrs weston whose marriages taking them from hartfield had indeed made a melancholy change but she was not going from hartfield she should be always there she was introducing no change in their numbers or their comforts but for the better and she was very sure that he would be a great deal the happier for having mr knightley always at hand when he were once got used to the idea
emma_053	27	38	0	0	2	5	to emma s entreaties and assurances succeeded mr knightley s whose fond praise of her gave the subject even a kind of welcome and he was soon used to be talked to by each on every fair occasion
emma_053	28	38	1	3	1	3	she had been extremely surprized never more so than when emma first opened the affair to her but she saw in it only increase of happiness to all and had no scruple in urging him to the utmost
emma_053	29	84	0	0	7	8	she had such a regard for mr knightley as to think he deserved even her dearest emma and it was in every respect so proper suitable and unexceptionable a connexion and in one respect one point of the highest importance so peculiarly eligible so singularly fortunate that now it seemed as if emma could not safely have attached herself to any other creature and that she had herself been the stupidest of beings in not having thought of it and wished it long ago
emma_053	30	22	1	5	0	0	how very few of those men in a rank of life to address emma would have renounced their own home for hartfield
emma_053	31	27	0	0	3	11	the difficulty of disposing of poor mr woodhouse had been always felt in her husband s plans and her own for a marriage between frank and emma
